,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：496yd,Hdcp：17,PAR：3,Reg.：172yd,Hdcp：13,PAR：4,Reg.：367yd,Hdcp：11
1,ほとんどフラットな比較的距離の短いロングホール,ほとんどフラットな比較的距離の短いロングホール,ほとんどフラットな比較的距離の短いロングホール,距離196ヤード、落差5mのショートホール,距離196ヤード、落差5mのショートホール,距離196ヤード、落差5mのショートホール,大山に向かって豪快なティーショットが楽しめる,大山に向かって豪快なティーショットが楽しめる,大山に向かって豪快なティーショットが楽しめる
2,難易度9位/18ホール中 平均スコア6.27 平均パット数1.99 パーオン率28.3% フェアウェイ率31.5% OB率22.8% バンカー率29.8%,難易度9位/18ホール中 平均スコア6.27 平均パット数1.99 パーオン率28.3% フェアウェイ率31.5% OB率22.8% バンカー率29.8%,難易度9位/18ホール中 平均スコア6.27 平均パット数1.99 パーオン率28.3% フェアウェイ率31.5% OB率22.8% バンカー率29.8%,難易度17位/18ホール中 平均スコア3.88 平均パット数2.13 パーオン率40.5% フェアウェイ率- OB率4.3% バンカー率26.0%,難易度17位/18ホール中 平均スコア3.88 平均パット数2.13 パーオン率40.5% フェアウェイ率- OB率4.3% バンカー率26.0%,難易度17位/18ホール中 平均スコア3.88 平均パット数2.13 パーオン率40.5% フェアウェイ率- OB率4.3% バンカー率26.0%,難易度14位/18ホール中 平均スコア5.12 平均パット数2.04 パーオン率33.0% フェアウェイ率39.8% OB率17.3% バンカー率4.5%,難易度14位/18ホール中 平均スコア5.12 平均パット数2.04 パーオン率33.0% フェアウェイ率39.8% OB率17.3% バンカー率4.5%,難易度14位/18ホール中 平均スコア5.12 平均パット数2.04 パーオン率33.0% フェアウェイ率39.8% OB率17.3% バンカー率4.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：363yd,Hdcp：9,PAR：4,Reg.：402yd,Hdcp：5,PAR：5,Reg.：538yd,Hdcp：1
5,ティーショットは左サイドぎりぎりが狙い目,ティーショットは左サイドぎりぎりが狙い目,ティーショットは左サイドぎりぎりが狙い目,451ヤードと最も距離のあるミドルホール,451ヤードと最も距離のあるミドルホール,451ヤードと最も距離のあるミドルホール,大山を右に眺めながらのロングホール,大山を右に眺めながらのロングホール,大山を右に眺めながらのロングホール
6,難易度13位/18ホール中 平均スコア5.14 平均パット数2.02 パーオン率29.3% フェアウェイ率36.5% OB率12.8% バンカー率20.5%,難易度13位/18ホール中 平均スコア5.14 平均パット数2.02 パーオン率29.3% フェアウェイ率36.5% OB率12.8% バンカー率20.5%,難易度13位/18ホール中 平均スコア5.14 平均パット数2.02 パーオン率29.3% フェアウェイ率36.5% OB率12.8% バンカー率20.5%,難易度11位/18ホール中 平均スコア5.25 平均パット数2.03 パーオン率21.8% フェアウェイ率37.3% OB率18.8% バンカー率23.5%,難易度11位/18ホール中 平均スコア5.25 平均パット数2.03 パーオン率21.8% フェアウェイ率37.3% OB率18.8% バンカー率23.5%,難易度11位/18ホール中 平均スコア5.25 平均パット数2.03 パーオン率21.8% フェアウェイ率37.3% OB率18.8% バンカー率23.5%,難易度3位/18ホール中 平均スコア6.49 平均パット数2.03 パーオン率22.5% フェアウェイ率34.3% OB率33.5% バンカー率32.8%,難易度3位/18ホール中 平均スコア6.49 平均パット数2.03 パーオン率22.5% フェアウェイ率34.3% OB率33.5% バンカー率32.8%,難易度3位/18ホール中 平均スコア6.49 平均パット数2.03 パーオン率22.5% フェアウェイ率34.3% OB率33.5% バンカー率32.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：172yd,Hdcp：15,PAR：4,Reg.：372yd,Hdcp：7,PAR：4,Reg.：414yd,Hdcp：3
9,大山の壮大な美しさを麓から眺めながら（8mの落差）,大山の壮大な美しさを麓から眺めながら（8mの落差）,大山の壮大な美しさを麓から眺めながら（8mの落差）,第2地点まではフラット。そこからはやや打ち上げ,第2地点まではフラット。そこからはやや打ち上げ,第2地点まではフラット。そこからはやや打ち上げ,距離のあるミドル。クラブハウスめがけ豪快に,距離のあるミドル。クラブハウスめがけ豪快に,距離のあるミドル。クラブハウスめがけ豪快に
